de.a,de,de.f,eo,en,pl,_,0,bazo,de.pl,de.pl.pos,de.pl.neg,pl.de,pl.de.pos,pl.de.neg
s,Achse,,akso,axis,oś,o,1,,,,,,,
e,Adresse,"-,-n",adreso,address,adres,o,1,,,,,,,
e,Agentur,"-,-n",agentejo,agency,agencja,o,1,,,,,,,
e,Ahnung,"-,-n",,,pojęcie,o,1,,,,,,,
e,Ampel,,,,sygnalizacja świetlna,o,1,,,,,,,
s,Amt,,oficejo,office,biuro; urząd,o,1,,,,,,,
r,Anorak,,jako,jacket,skafander,o,1,,,,,,,
e,Arbeit,,laboro,work,praca,o,1,,,,,,,
e,Arbeitsagentur,"-,-n",laboroagentejo,employment Agency,agencja pracy,o,1,,,,,,,
s,Arbeitsamt,,laboroficejo,employment exchange,urząd pracy,o,1,,,,,,,
e,Arbeitslosigkeit,0,senlaboreco,unemployment,bezrobocie,o,1,,,,,,,
r,Arbeitsmarkt,"-es,-""e",labormerkato,labour market,rynek pracy,o,1,,,,,,,
,Arbeitszeit,,labortempo,work time,czas pracy,o,1,,,,,,,
r,Arm,,brako,arm,ręka,o,1,,,,,,,
r,Ausflug,,ekskurso,excursion,wycieczka,o,1,,,,,,,
s,Ausland,-(es),eksterlando,foreign country,za granicą,o,1,,,,,,,
e,Aussage,,eldiro,statement,wypowiedź,o,1,,,,,,,
e,Äußerung,"-,-en",diro,statement; saying,mówienie,o,1,,,,,,,
s,Auto,,aŭto,car,samochód,o,1,,,,,,,
s,Automodell,,automodel,car model,model samochodu,o,1,,,,,,,
e,Bahn,-;-en,,,kolej; pociąg,o,1,,,,,,,
e,Bahn,-;-en,vojo,way,droga,o,1,,,,,,,
r,Bahnhof,,stacio,station,dworzec,o,1,,,,,,,
e,Bank,,,,bank,o,1,,,,,,,
e,Bauerstraße,,,,przecznica,o,1,,,,,,,
r/e,Bekannte,"-n,-n",konato,acquaintance,znajomy,o,1,,,,,,,
e,Berechnung,"-,-en",komputo,computation,obliczenie ,o,1,,,,,,,
r,Beruf,"-(e)s,-e",metio,profession,zawód,o,1,,,,,,,
e,Beziehung,"-,-en",rilato,relationship,związek (relacja),o,1,,,,,,,
r,Bezirk,,,,województwo,o,1,,,,,,,
e,Bibliotek,,,,biblioteka,o,1,,,,,,,
r,Bleistift,,krajono,pencil,ołówek,o,1,,,,,,,
e,Brille,,okulvitroj,eyeglasses,okulary,o,1,,,,,,,
e,Brücke,,ponto,bridge,most,o,1,,,,,,,
e,Bruecke,,,bridge,most,o,1,,,,,,,
s,Buch,,libro,book,książka,o,1,,,,,,,
r,Bus,-ses;-se,,,autobus,o,1,,,,,,,
e,Bushaltestelle,,,,przystanek autobusowy,o,1,,,,,,,
s,Cafe,,,cafe,kawiarnia,o,1,,,,,,,
s,Café,,kafejo,café,kawiarnia,o,1,,,,,,,
r,"Chef, oberhaupt",,ĉefo,"boss, chief",szef,o,1,,,,,,,
r,Computer,,komputilo,computer,komputer,o,1,,,,,,,
s,Denkmal,"-s,-""er",monumento,monument,zabytek,o,1,,,,,,,
r,Dom,,katedralo,cathedral,katedra,o,1,,,,,,,
,Einzelkind,,solinfano,,jedynak,o,1,,,,,,,
s,Essen,"-s,-",manĝo,meal,posiłek,o,1,,,,,,,
,Familienstand,,civita stato,marital status,stan cywilny,o,1,,,,,,,
s,Fernsehen,-s,televido,television,telewizja,o,1,,,,,,,
r,Floh,"-s,-""e",pulo,flea,pchła,o,1,,,,,,,
s,Fluß,"-es,-""e",,,rzeka,o,1,,,,,,,
e,Freizeit,0,gefratoj,leisure,wolny czas,o,1,,,,,,,
r,Freund,"-(e)s,-e",amiko,friend,przyjaciel,o,1,,,,,,,
s,Frühjahr,"-s,-e",printempo,spring,wiosna,o,1,,,,,,,
r,Führer,"-s,-",gvidisto;konduktoro,guide,przewodnik,o,1,,,,,,,
r,Führerschein,"-(e)s,-e",kondukpermesilo,driver license,prawo jazdy,o,1,,,,,,,
e,Fülle,,riĉeco,wealth; abundance,bogactwo,o,1,,,,,,,
e,Furore,0,furoro,"fad, craze",furora,o,1,,,,,,,
r,Fuß,"-es,-""e",,,stopa,o,1,,,,,,,
e,Galerie,,galerio,gallery,galeria,o,1,,,,,,,
e,Galerie,,,,galeria,o,1,,,,,,,
r,Garden,,,,Ogród,o,1,,,,,,,
,Geburtsdatum,,naskiĝtago,birthday,data urodzin,o,1,,,,,,,
r,Geburtstag,"-(e)s,-e",naskiĝtago,birthday,urodziny,o,1,,,,,,,
s,Gehalt,,salajro,"salary, wages, wage",pensja,o,1,,,,,,,
s,Geld,,mono,money,pieniądze,o,1,,,,,,,
s,Gerät,e,ilaro; vazaro,device,urządzenie,o,1,,,,,,,
s,Geschäft,,,shop,sklep,o,1,,,,,,,
e,Geschwister,,gefratoj,sibling,rodzeństwo,o,1,,,,,,,
e,Gram Futur,,futuro,future tense,przyszłość,o,1,,,,,,,
,Griechenland,,Grekio,Greece,Grecja,o,1,,,,,,,
,Handkoffer,,valizo,"suitcase, valise",walizka,o,1,,,,,,,
e,Handschuh,e,ganto,glove,rękawiczka,o,1,,,,,,,
s,Handtuch,,mantuko,towel,ręcznik,o,1,,,,,,,
s,Handy,,poŝtelefono,mobile phone,komórka,o,1,,,,,,,
e,Hauptstadt,"-,-""e",ĉefurbo,capital city,stolica,o,1,,,,,,,
s,Haustier,"-(e)s,-e",dorlotbesto,pet,pieszczoch domowy,o,1,,,,,,,
s,Hemd,,ĉemizo,shirt,koszula,o,1,,,,,,,
r,Herbst,"-(e)s,-e",aŭtuno,autumn,jesień,o,1,,,,,,,
e,Hielfe,,"helpo,",help,pomoc,o,1,,,,,,,
r,Hit,,furoraĵo,hit,hit,o,1,,,,,,,
e,Hose,,pantalono,pants,spodnie,o,1,,,,,,,
s,Hotel,,,,hotel,o,1,,,,,,,
e,Information,,,,Informacja,o,1,,,,,,,
s,Jahr,"-(e)s,-e",jaro,year,rok,o,1,,,,,,,
r,Kaffee,,kafo,coffee,kawa,o,1,,,,,,,
r,Kalender,"-s,-",kalendaro,calendar,kalendarz,o,1,,,,,,,
,Kandy,,kando,candy,cukierek,o,1,,,,,,,
r,Kanzler,"-s,-",kanceliero,chancellor,kanclerz,o,1,,,,,,,
s,Kino,,,,kino,o,1,,,,,,,
r,Koffer,,kofro,trunk,kufer,o,1,,,,,,,
e,Kosmetika,,kosmetikoj,cosmetics,kosmetyki,o,1,,,,,,,
e,Kreuz,,kruco,cross,krzyż,o,1,,,,,,,
e,Kreuzung,,,,skrzyżowanie,o,1,,,,,,,
e,Kuppel,,kupolo,cupola,kopuła,o,1,,,,,,,
r,Kurs,,kurso,course,kurs,o,1,,,,,,,
e,Luft,"-,""e",aero,air,powietrze,o,1,,,,,,,
e,Mail,,poŝto,mail,mail,o,1,,,,,,,
r,Markt,,merkato,market,rynek,o,1,,,,,,,
r,Markt; Messe,,foiro,market; fair,targ,o,1,,,,,,,
s,Mauer,,muro,wall,mur,o,1,,,,,,,
e,Maus,"-,""e",muso,mouse,mysz,o,1,,,,,,,
e,Menschen,,homoj,people,ludzie,o,1,,,,,,,
s,Mitglied,"-(e)s,-er",membro,member,członek,o,1,,,,,,,
s,Möbel,,,,mebel,o,1,,,,,,,
s,Modell,,modelo,model,model,o,1,,,,,,,
s,Museum,,,,muzeum,o,1,,,,,,,
e,Mütze,,ĉapo,cap,czapka,o,1,,,,,,,
r,Nachname,"-ns,-n",familia nomo,surname,nazwisko,o,1,,,,,,,
e,Nase,"-,-n",nazo,nose,nos,o,1,,,,,,,
e,Nation,"-,-en",nacio,nation,naród,o,1,,,,,,,
e,Note,,noto,note,ocena,o,1,,,,,,,
r,Palast,,,,pałac,o,1,,,,,,,
r,Park,,parko,park,park,o,1,,,,,,,
r,Park,,,,park,o,1,,,,,,,
e,Pizza,,pico,pizza,pizza,o,1,,,,,,,
r,Plan,,plano,"plan, design, scheme, diagram",plan,o,1,,,,,,,
r,Platz,,placo,place,plac,o,1,,,,,,,
r,Portier,"-s,-s",pordisto,porter,portier,o,1,,,,,,,
e,Post,,,,poczta,o,1,,,,,,,
s,Programm,,programo,programme,program,o,1,,,,,,,
e,Promenade,"-,-n",promenejo,promenade,deptak,o,1,,,,,,,
s,Rathause,,,,ratusz,o,1,,,,,,,
s,Rausebiuro,,,,biuro podróży,o,1,,,,,,,
r,Reichtum,"-s,""er",riĉeco,wealth,bogactwo,o,1,,,,,,,
e,Reihe,,registaro,government,rząd,o,1,,,,,,,
e,Reise,"-,-n",vojaĝo,travel,podróż,o,1,,,,,,,
,Reise,,vojaĝo,"trip, voyage, journey",podróż,o,1,,,,,,,
s,Restaurant,"-s,-s",,,restauracja,o,1,,,,,,,
s,Schloß,,,,zamek,o,1,,,,,,,
e,Schuh,e,ŝuo,shoe,but,o,1,,,,,,,
e,Schule,,,,szkoła,o,1,,,,,,,
e,Siedlung,,,,osiedle,o,1,,,,,,,
e,Socke,"-,-n",ŝtrumpeto,sock,skarpeta,o,1,,,,,,,
r,Sommer,"-s,-",somero,summer,lato,o,1,,,,,,,
e,Sonnenbrille,,sunookulvitroj,sunglasses,okulary przeciwsłoneczne,o,1,,,,,,,
r,Spaziergang,,promenado,"walk, stroll",spacer,o,1,,,,,,,
r,Staat,,ŝtato,state,państwo,o,1,,,,,,,
e,Stadt,,urbo,city,miasto,o,1,,,,,,,
r,Stadtplan,,urboplano,city map,plan miasta,o,1,,,,,,,
s,Stadttor,,,,brama miasta,o,1,,,,,,,
e,Straße,,strato,street,ulica,o,1,,,,,,,
e,Straßenbahn,-;-en,,,tramwaj,o,1,,,,,,,
,Straßenkreuzung,,stratkruciĝo,intersection,skrzyżowanie ulic,o,1,,,,,,,
r,Strumpf,"-(e)s,""e",ŝtrumpo,stocking,pończocha,o,1,,,,,,,
e,Stunde,"-,-n",horo,hour ,godzina,o,1,,,,,,,
,Suchen,,serĉo,"search, quest",szukanie,o,1,,,,,,,
r,Supermarket,,,,supermarket,o,1,,,,,,,
r,Tag,,tago,day,dzień,o,1,,,,,,,
s,Taschentuch,"-es,""er",naztuko,handkerchief,chusteczka,o,1,,,,,,,
r,Tee,,teo,tea,herbata,o,1,,,,,,,
s,Theater,,teatro,theatre,teatr,o,1,,,,,,,
s,Ticket,,veturbileto,ticket,bilet,o,1,,,,,,,
s,Tor,,pordego,"portal, gateway",brama,o,1,,,,,,,
e,Tour,"-,-en",vojaĝo,"trip, voyage, journey",podróż,o,1,,,,,,,
r,Tourist,"-en,-en",,,turysta,o,1,,,,,,,
e,Tourist Information,,,,informacja turystyczna,o,1,,,,,,,
e,Tradition,,tradicio,tradition,tradycja,o,1,,,,,,,
e,Tür,"-,-en",pordo,"door, gate","drzwi, furta; ",o,1,,,,,,,
r,Turm,,turo,tower,wieża,o,1,,,,,,,
,Türriegel,,pordoriglilo,door lock,zamek,o,1,,,,,,,
e,Übung,"-,-n",ekzerco,"exercise, practice",ćwiczenie,o,1,,,,,,,
e,Uhr,,horloĝo,clock; watch,zegar,o,1,,,,,,,
e,Universitaet,,,,uniwersytet,o,1,,,,,,,
e,Universität,,universitato,university,uniwersytet,o,1,,,,,,,
e,Unterwäsche,,tolaĵo,underwear,bielizna,o,1,,,,,,,
r,Verkehr,"-s,-e",trafiko,(on roads) traffic,"ruch drogowy, ",o,1,,,,,,,
s,Verkehrszeichen,,trafiksigno,traffic sign,znak drogowy,o,1,,,,,,,
s,Viertel,,kvartalo,district,dzielnica,o,1,,,,,,,
r,Vorname,"-ns,-n",antaŭnomo,firstname,imię,o,1,,,,,,,
s,VorZeichen,,signo,"signal, character,",znak,o,1,,,,,,,
e,Ware,"-,-n",varo,ware,towar,o,1,,,,,,,
r,Wecker,,vekhorloĝo,alarm clock,budzik,o,1,,,,,,,
r,Weg,"-(e)s,-s",vojo,way,droga,o,1,,,,,,,
r,Winter,"-s,-",vintro,winter,zima,o,1,,,,,,,
r,Witwer,"-s,-",vidvo,widower,wdowiec,o,1,,,,,,,
e,Zeit,"-,-en",tempo,"time, while","czas, tempo, pora",o,1,,,,,,,
e,Zeitung,,gazeto,newspaper,gazeta,o,1,,,,,,,
s,Zentrum,,centro,centre,centrum,o,1,,,,,,,
e,Zigarette,"-,-n",cigaredo,cigarette,papieros,o,1,,,,,,,
r,Zoo-Garden,,,,zoo,o,1,,,,,,,
r,Zug,"-es,""e",,,pociąg,o,1,,,,,,,
e,Zukunft,,futuro,future tense,przyszłość,o,1,,,,,,,
r,Zuname,"-ns,-n",familia nomo,surname,nazwisko,o,1,,,,,,,
,abbiegen,,,,skręcać,i,2,,,,,,,
,abholen,,depreni,to deduct,odebrać,i,2,,,,,,,
,arbeiten,,labori,to work,pracować,i,2,,,,,,,
,aufstehen,,ekstari,to  get up,wstawać,i,2,,,,,,,
,bedauern,,bedaŭri,to regret,"żałować, ubolewać",i,2,,,,,,,
,bekommen,,ricevi,to receive,odbierać,i,2,,,,,,,
,bekommen,,ricevi,"to get, to receive",dostać,i,2,,,,,,,
,beraten,,konsili,to advise,doradzać,i,2,,,,,,,
,beraten,,konsili,to advise,doradzać,i,2,,,,,,,
,besuchen,,viziti,to visit,zwiedzać,i,2,,,,,,,
,biegen,,,,obracać,i,2,,,,,,,
,brauchen,,bezoni,to need,potrzebować,i,2,,,,,,,
,bummeln,,vagi,to roam; to wander,bumelować,i,2,,,,,,,
,denken,,pensi,to think,myśleć,i,2,,,,,,,
,drehen,,turni,to turn around ,kręcić się,i,2,,,,,,,
,einpacken,,enpaki,to pack,zapakowac,i,2,,,,,,,
,essen,,manĝi,to eat,jeść,i,2,,,,,,,
,fangen,,kapti,to catch,chwytać,i,2,,,,,,,
,finden,,trovi,to find,"znaleźć, znajdować",i,2,,,,,,,
,gebären,,naski,to bear,urodzić,i,2,,,,,,,
,hassen,,malami,to hate,nienawidzić,i,2,,,,,,,
,helfen,,helpi,to help,pomagać,i,2,,,,,,,
,informieren,,informi,to inform,informować,i,2,,,,,,,
,kochen,,kuiri,to cook,gotować,i,2,,,,,,,
,kommen,,veni,to come,przyjść,i,2,,,,,,,
,kontrollieren,,kontroli,to control,kontrolować,i,2,,,,,,,
,kontrollieren,,kontroli,to control,kontrolować,i,2,,,,,,,
,kreuzen,,kruci,to cross,krzyżować,i,2,,,,,,,
,leiten,,gvidi,to guide,prowadzić/kierować,i,2,,,,,,,
,leiten,,konduki,to conduct,kierować,i,2,,,,,,,
,organisieren,,organizi,to organize,zorganizować,i,2,,,,,,,
,packen,,paki,to pack,pakować,i,2,,,,,,,
,parken,,parki,to park,parkować,i,2,,,,,,,
,promenieren,,promeni,to go for a walk; to stroll,spacerować,i,2,,,,,,,
,rauchen,,fumi,to smoke,palić,i,2,,,,,,,
,rechnen,,komputi,to compute,liczyć,i,2,,,,,,,
,regieren,,regi,to govern,"panować, rządzić,",i,2,,,,,,,
,reisen,,vojaĝi,to travel,podróżować,i,2,,,,,,,
,reisen,,vojaĝi,"to travel, to journey",podróżować,i,2,,,,,,,
,rufen,,voki,to call,wołać,i,2,,,,,,,
,sagen,,diri,(tr) to say; to tell,powiedzieć,i,2,,,,,,,
,sehen,,vidi,to see,ogladać,i,2,,,,,,,
,spazieren,,promeni,to go for a walk; to stroll,spacerować,i,2,,,,,,,
,sprechen,,paroli,to speak,rozmawiać,i,2,,,,,,,
,stehen,,stari,to stand,stać,i,2,,,,,,,
,suchen,,serĉi,to search,szukać,i,2,,,,,,,
,suchen,,serĉi,"to look for, to seek",szukać,i,2,,,,,,,
,telefonieren,,telefoni,to phone,dzwonić,i,2,,,,,,,
,treffen,,renkonti,to meet,spotykać,i,2,,,,,,,
,treffen,,renkonti,to meet,spotykać,i,2,,,,,,,
,verdienen,,perlabori ,to earn,zarabiać,i,2,,,,,,,
,verriegeln,,rigli,to fasten; to bolt ,ryglować,i,2,,,,,,,
,vorbeigehen,,,,przechodzić obok,i,2,,,,,,,
,vorbereiten,,prepari,to prepare,przygotować,i,2,,,,,,,
,wohnen,,loĝi ,to live,żyć,i,2,,,,,,,
,zuriegeln,,rigli,to fasten; to bolt ,ryglować,i,2,,,,,,,
,alt,,olda,old,stary,a,3,,,,,,,
,arm,,povra,poor,biedny,a,3,,,,,,,
,baldig,,,,rychło,a,3,,,,,,,
,dehnbar,,elasta,elastic,elastyczny,a,3,,,,,,,
,elastisch,,elasta,elastic,elastyczny,a,3,,,,,,,
,federnd,,elasta,elastic,elastyczny,a,3,,,,,,,
,fern,,malproksima,far,daleki,a,3,,,,,,,
,folgend,,sekvanta,following,następujący,a,3,,,,,,,
,folgend,,sekva,next,następny,a,3,,,,,,,
,früh,,frua,early,wczesny,a,3,,,,,,,
,geboren,,naskita,born,urodzony,a,3,,,,,,,
,geschieden,,"eksedz(in)iĝinta,",divorced,rozwiedziony,a,3,,,,,,,
,groß,,granda,"large, great, big",duży,a,3,,,,,,,
,hauptsächlich,,ĉefa,chief,naczelny,a,3,,,,,,,
,jung,,juna;,young,młody,a,3,,,,,,,
,ledig,,fraŭla,unmarried,stanu wolnego,a,3,,,,,,,
,mündlich,,parola,oral,ustny,a,3,,,,,,,
,reich,,riĉa ,wealthy,bogaty,a,3,,,,,,,
,weiß,,,,biały,a,3,,,,,,,
,wert,,inda,worthy; deserving,warty,a,3,,,,,,,
,bald,,,,wkrótce; niebawem,e,4,,,,,,,
,einfach,,,,łatwo,e,4,,,,,,,
,entlang,,,,wzdłuż,e,4,,,,,,,
,folglich,,sekve,therefore,zatem,e,4,,,,,,,
,geradeaus,,,,prosto,e,4,,,,,,,
,gern,,volonte,gladly,ochoczo,e,4,,,,,,,
,hauptsächlich,,ĉefe,chiefly,głównie,e,4,,,,,,,
,leider,,bedaŭrinde,unfortunately; regrettably,niestety,e,4,,,,,,,
,links,,,,po lewej,e,4,,,,,,,
,manchmal,,kelkfoje,sometimes,czasami,e,4,,,,,,,
,mündlich,,parole,orally,ustnie,e,4,,,,,,,
,rechts,,,,po prawej,e,4,,,,,,,
,vorbei,,,,"mimo, obok",e,4,,,,,,,
,wenig,,malmulte,little; not much,mało,e,4,,,,,,,
,"zeitig, früh",,frue,early,wcześnie,e,4,,,,,,,
,zurzeit,,nuntempe,currently,obecnie,e,4,,,,,,,
,dritte,,,,trzeci,n,5,,,,,,,
,zweite,,,,drugi,n,5,,,,,,,
